,Player Name
0,Trent Boult
1,Josh Hazlewood
2,Chris Woakes
3,Mujeeb Ur Rahman
4,Mehedi Hasan
5,Matt Henry
6,Jasprit Bumrah
7,Mitchell Starc
8,Shakib Al Hasan
9,Andy McBrine
10,Mustafizur Rahman
11,Pat Cummins
12,Kagiso Rabada
13,Shaheen Afridi
14,Mohammad Amir
15,Rashid Khan
16,Adam Zampa
17,Lachlan Ferguson
18,Jofra Archer
19,Lungi Ngidi
20,Yuzvendra Chahal
21,Mark Wood
22,Bhuvneshwar Kumar
23,Mohammad Nabi
24,Mitchell Santner
25,Alzarri Joseph
26,Akila Dananjaya
27,Tabraiz Shamsi
28,Mohammad Shami
29,Kuldeep Yadav
30,Ravindra Jadeja
31,Dushmantha Chameera
32,Keshav Maharaj
33,Sheldon Cottrell
34,Ahmed Raza
35,Wanindu Hasaranga
36,Mark Watt
37,Shadab Khan
38,Colin de Grandhomme
39,David Willey
40,Tim Southee
41,Simi Singh
42,Dwaine Pretorius
43,Adil Rashid
44,Ish Sodhi
45,Imad Wasim
46,Blessing Muzarabani
47,Hasan Ali
48,Usman Khan
49,Jhye Richardson
50,Joshua Little
51,Andile Phehlukwayo
52,Rohan Mustafa
53,Craig Young
54,Mashrafe Mortaza
55,Mohammad Mohammad Saifuddin
56,Tendai Chatara
57,Zeeshan Maqsood
58,Jimmy Neesham
59,Akeal Hosein
60,Nuwan Pradeep
61,Saqib Mahmood
62,Moeen Ali
63,Wahab Riaz
64,Faheem Ashraf
65,Jason Holder
66,Tom Curran
67,Safyaan Sharif
68,Ashton Agar
69,Taskin Ahmed
70,Suranga Lakmal
71,Anrich Nortje
72,Bilal Khan
73,Saurabh Netravalkar
74,Josh Davey
75,Kane Richardson
76,Ben Stokes
77,Alasdair Evans
78,Sikandar Raza
79,Sean Williams
80,Sandeep Lamichhane
81,Rubel Hossain
82,Chad Soper
83,Fred Klaassen
84,Dhananjaya de Silva
85,Gulbadin Naib
86,Mitchell Marsh
87,Shardul Thakur
88,Hardik Pandya
89,Ravichandran Ashwin
90,Wayne Parnell
91,Maheesh Theekshana
92,Nosaina Pokana
93,Barry McCarthy
94,Marcus Stoinis
95,Michael Leask
96,Taijul Islam
97,Mohammad Nawaz
98,Assad Vala
99,Roston Chase
